Summary:
Number of strings read: 16384
Number of strings stored in hash table: 16384
Number of strings in their home addresses: 1440
Number of collisions: 14944
Average number of string comparisons: 5595.498474

Index    Key               Home Index    In Home    Comparisons
318      zb                318           YES        1          
319      oh                319           YES        1          
320      zc                320           YES        1          
321      yd                321           YES        1          
322      bp                322           YES        1          
323      im                323           YES        1          
324      ri                324           YES        1          
325      qj                325           YES        1          
326      vh                326           YES        1          
327      dp                324           NO         4          
328      rf                318           NO         11         
329      wi                329           YES        1          
330      zh                330           YES        1          
331      lo                330           NO         2          
332      wj                331           NO         2          
333      xi                330           NO         4          
334      dr                328           NO         7          
335      kr                335           YES        1          
336      ro                336           YES        1          
337      cw                337           YES        1          
338      zl                338           YES        1          
339      wn                339           YES        1          
340      xn                340           YES        1          
341      dx                340           NO         2          
342      jv                342           YES        1          
343      mr                337           NO         7          
344      pt                344           YES        1          
345      op                335           NO         11         
346      fw                340           NO         7          
347      hr                332           NO         16         
348      ve                320           NO         29         
349      ru                348           NO         2          
350      pw                350           YES        1          
351      eo                323           NO         29         
352      yl                337           NO         16         
353      to                338           NO         16         
354      te                318           NO         37         
355      vv                354           NO         2          
356      is                335           NO         22         
357      xl                336           NO         22         
358      xe                322           NO         37         
359      sz                359           YES        1          
360      vy                360           YES        1          
361      cu                333           NO         29         
362      ft                334           NO         29         
363      sj                327           NO         37         
364      wz                363           NO         2          
365      yz                365           YES        1          
366      ou                345           NO         22         
367      xq                346           NO         22         
368      gn                323           NO         46         
369      wo                341           NO         29         
370      rn                334           NO         37         
371      pf                316           NO         56         
372      zo                344           NO         29         
373      xh                328           NO         46         
374      yt                353           NO         22         
375      ms                339           NO         37         
376      pr                340           NO         37         
377      bu                332           NO         46         
378      oj                323           NO         56         
379      pj                324           NO         56         
380      nu                344           NO         37         
381      tz                360           NO         22         
382      re                316           NO         67         
383      ud                317           NO         67         
384      hz                348           NO         37         
385      su                349           NO         37         
386      bo                320           NO         67         
387      tl                332           NO         56         
388      jl                322           NO         67         
389      dz                344           NO         46         
390      sn                335           NO         56         
391      ht                336           NO         56         
392      iy                347           NO         46         
393      xm                338           NO         56         
394      pl                328           NO         67         
395      by                340           NO         56         
396      hk                318           NO         79         
397      cn                319           NO         79         
398      zx                362           NO         37         
399      oi                321           NO         79         
400      xk                334           NO         67         
401      ug                323           NO         79         
402      od                311           NO         92         
403      hh                312           NO         92         
404      jn                326           NO         79         
405      uo                339           NO         67         
406      uz                361           NO         46         
407      gq                329           NO         79         
408      bt                330           NO         79         
409      kp                331           NO         79         
410      zi                332           NO         79         
411      jk                320           NO         92         
412      bv                334           NO         79         
413      nj                322           NO         92         
414      lx                348           NO         67         
415      ll                324           NO         92         
416      ei                311           NO         106        
417      cx                339           NO         79         
418      yy                363           NO         56         
419      hi                314           NO         106        
420      ql                329           NO         92         
421      ey                343           NO         79         
422      wc                317           NO         106        
423      ag                303           NO         121        
424      rz                358           NO         67         
425      us                347           NO         79         
426      jy                348           NO         79         
427      zk                336           NO         92         
428      oq                337           NO         92         
429      jm                324           NO         106        
430      in                325           NO         106        
431      ua                311           NO         121        
432      xu                354           NO         79         
433      dy                342           NO         92         
434      fj                314           NO         121        
435      ec                299           NO         137        
436      bm                316           NO         121        
437      yw                359           NO         79         
438      li                318           NO         121        
439      ic                303           NO         137        
440      ut                349           NO         92         
441      bw                336           NO         106        
442      ys                351           NO         92         
443      fv                338           NO         106        
444      fg                308           NO         137        
445      ar                325           NO         121        
446      az                341           NO         106        
447      me                311           NO         137        
448      tb                312           NO         137        
449      xw                358           NO         92         
450      wq                345           NO         106        
451      ek                315           NO         137        
452      dt                332           NO         121        
453      cm                317           NO         137        
454      vd                318           NO         137        
455      yk                335           NO         121        
456      wt                351           NO         106        
457      uf                321           NO         137        
458      rh                322           NO         137        
459      sp                339           NO         121        
460      ns                340           NO         121        
461      cq                325           NO         137        
462      qz                357           NO         106        
463      kn                327           NO         137        
464      rk                328           NO         137        
465      va                312           NO         154        
466      yx                361           NO         106        
467      rd                314           NO         154        
468      vs                348           NO         121        
469      gs                333           NO         137        
470      ly                350           NO         121        
471      eu                335           NO         137        
472      ao                319           NO         154        
473      lj                320           NO         154        
474      gm                321           NO         154        
475      oz                355           NO         121        
476      zu                356           NO         121        
477      nk                324           NO         154        
478      ok                325           NO         154        
479      lm                326           NO         154        
480      io                327           NO         154        
481      nm                328           NO         154        
482      rt                346           NO         137        
483      lf                312           NO         172        
484      on                331           NO         154        
485      iz                349           NO         137        
486      ul                333           NO         154        
487      hj                316           NO         172        
488      qo                335           NO         154        
489      cd                299           NO         191        
490      em                319           NO         172        
491      ph                320           NO         172        
492      gv                339           NO         154        
493      ju                340           NO         154        
494      jc                304           NO         191        
495      rr                342           NO         154        
496      si                325           NO         172        
497      rj                326           NO         172        
498      ra                308           NO         191        
499      qb                309           NO         191        
500      ko                329           NO         172        
501      qc                311           NO         191        
502      pd                312           NO         191        
503      rm                332           NO         172        
504      kz                351           NO         154        
505      gj                315           NO         191        
506      dl                316           NO         191        
507      nq                336           NO         172        
508      bd                298           NO         211        
509      nr                338           NO         172        
510      ux                357           NO         154        
511      lt                340           NO         172        
512      uy                359           NO         154        
513      bz                342           NO         172        
514      cz                343           NO         172        
515      ge                305           NO         211        
516      ti                326           NO         191        
517      as                327           NO         191        
518      gz                347           NO         172        
519      mn                329           NO         191        
520      tk                330           NO         191        
521      cj                311           NO         211        
522      jq                332           NO         191        
523      ny                352           NO         172        
524      vl                334           NO         191        
525      wl                335           NO         191        
526      lh                316           NO         211        
527      ks                337           NO         191        
528      dw                338           NO         191        
529      ha                298           NO         232        
530      zm                340           NO         191        
531      ex                341           NO         191        
532      nt                342           NO         191        
533      ye                323           NO         211        
534      vq                344           NO         191        
535      hd                304           NO         232        
536      fp                326           NO         211        
537      yg                327           NO         211        
538      ie                307           NO         232        
539      er                329           NO         211        
